Strain,beta-Caryophyllene,alpha-Humulene,beta-Pinene,alpha-Pinene,Linalool,Camphene,beta-Myrcene,Geraniol,trans-Nerolidol,Caryophyllene Oxide,delta-3-Carene,alpha-Terpinene,para-Cymene,beta-Ocimene,Eucalyptol,gamma-Terpinene,Terpinolene,cis-Nerolidol,alpha-Bisabolol,D-Limonene,Guaiol,Isopulegol,alpha-Ocimene
F4,0.2,0.07,0.06,0.05,0.09,0.02,0.17,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.04,0,0,0,0
F23,0.11,0.05,0.08,0.23,0.07,0.01,0,0.02,0.01,0.02,0.01,0.01,0.01,0.12,0.03,0.01,0.01,0.01,0.03,0.02,0,0,0
F3,0.34,0.12,0.05,0.03,0.05,0.02,0,0.02,0.02,0.03,0.02,0.02,0.01,0.05,0.01,0.02,0.17,0.01,0.03,0.17,0.01,0,0
F11,0,0.12,0.05,0.03,0.25,0.02,0.03,0.02,0.04,0.03,0,0.04,0.02,0.12,0,0,0.02,0.01,0.03,0.15,0,0.02,0.08
F24,0.12,0.06,0.04,0.1,0.05,0.01,0,0.02,0.02,0.03,0.01,0.01,0.02,0.17,0.05,0,0,0.01,0.03,0.03,0,0,0.01
F15,0.12,0.05,0.05,0.04,0.11,0.02,0.08,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0,0
F64,0.13,0.06,0.06,0.05,0.13,0.02,0,0,0.03,0.03,0.01,0.01,0.01,0.02,0,0.01,0.02,0.01,0.01,0.25,0.03,0,0
F26,0.28,0.15,0.08,0.06,0.1,0.02,0,0.02,0.02,0.03,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0.3,0,0.02,0
F28,0.17,0.06,0.04,0.03,0,0.02,0.03,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.19,0.01,0,0
F40,0.12,0.06,0.1,0.09,0.08,0.03,0.08,0.02,0.01,0.02,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0,0,0.02,0
F55,0.14,0.05,0.16,0.11,0.03,0.02,0.57,0.02,0.01,0,0.06,0.07,0.02,0.31,0.02,0.04,0,0.01,0.02,0.3,0,0.02,0.01
F43,0,0.18,0.09,0.08,0.1,0.02,0.12,0,0.01,0.02,0.01,0.01,0.01,0.09,0.03,0.01,0.02,0.01,0.04,0.33,0.04,0,0
F23,0.11,0.05,0.08,0.23,0.07,0.01,0,0.02,0.01,0.02,0.01,0.01,0.01,0.12,0.03,0.01,0.01,0.01,0.03,0.02,0,0,0
F12,0.15,0.05,0.06,0.03,0.02,0.02,0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0.2,0,0,0
F27,0.16,0.07,0.16,0.21,0.21,0.03,0.11,0.02,0.02,0.03,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.04,0,0,0,0.01
F24,0.12,0.06,0.04,0.1,0.05,0.01,0,0.02,0.02,0.03,0.01,0.01,0.02,0.17,0.05,0,0,0.01,0.03,0.03,0,0,0.01
F6,0.07,0.04,0.09,0.26,0.11,0.02,0,0,0.01,0.03,0.02,0.01,0.02,0.14,0.04,0.02,0.02,0.01,0.02,0.11,0.03,0,0.01
F16,0.12,0.05,0.06,0.14,0.12,0.02,0,0.01,0.01,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.11,0,0,0
F8,0.12,0.05,0.04,0.03,0.14,0.02,0,0.02,0.02,0.04,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.15,0.03,0,0
F30,0.24,0.08,0.11,0.13,0.08,0.03,0.05,0.02,0.02,0.02,0.01,0.01,0.02,0.12,0.04,0.01,0.02,0.01,0.02,0,0,0,0.01
F29,0,0.17,0.06,0.07,0.12,0.02,0.04,0.02,0.03,0.03,0,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.01,0.22,0.01,0,0.01
F2,0.29,0.1,0.07,0.05,0.29,0.02,0.18,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0,0.01,0.02,0.01,0.04,0,0,0,0
F61,0.15,0.09,0.13,0.08,0.02,0.01,0.22,0.02,0.02,0.02,0.05,0.07,0.02,0.32,0.02,0.04,0,0.01,0.02,0.08,0,0.02,0.01
F7,0.12,0.07,0.12,0.16,0.13,0.03,0.06,0.02,0.01,0,0.02,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.02,0,0,0,0
F10,0,0.17,0.06,0.04,0.16,0.02,0.32,0,0.04,0.03,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0.07,0.35,0,0,0.01
F65,0.09,0.04,0.11,0.09,0.13,0.02,0.27,0.02,0.01,0.03,0.04,0.05,0.02,0.18,0.02,0.04,0,0.01,0.01,0.15,0.03,0.02,0.01
F135,0,0.09,0.03,0.02,0.09,0.02,0.02,0.02,0.02,0.03,0,0.03,0.01,0.07,0,0,0.01,0.01,0.01,0.09,0,0,0.05
F42,0,0.13,0.08,0.09,0.17,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.03,0.28,0,0.02,0
F33,0.36,0.13,0.1,0.09,0.07,0.03,0.07,0.02,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0,0,0.02,0
F50,0.44,0.15,0.14,0.19,0.13,0.03,0.05,0,0.02,0.02,0.01,0.01,0.02,0.07,0.03,0.01,0.02,0.01,0.02,0,0,0,0
F80,0.21,0.07,0.11,0.08,0.1,0.03,0,0,0.02,0.03,0.01,0.01,0.02,0.1,0.03,0.01,0.02,0.01,0.01,0.47,0,0.02,0.01
F55,0.14,0.05,0.16,0.11,0.03,0.02,0.57,0.02,0.01,0,0.06,0.07,0.02,0.31,0.02,0.04,0,0.01,0.02,0.3,0,0.02,0.01
F81,0.55,0.19,0.12,0.09,0.08,0.03,0.09,0.02,0.03,0.03,0.01,0.13,0.02,0.02,0,0.01,0.02,0.01,0.04,0,0,0.02,0
F57,0.17,0.1,0.07,0.05,0.17,0.03,0.22,0.02,0.03,0.03,0.01,0.01,0.02,0.01,0,0.02,0.02,0.01,0.02,0,0,0,0
F54,0.17,0.07,0.05,0.04,0.17,0.02,0.18,0.02,0.02,0.03,0.02,0.06,0.02,0.01,0,0.02,0.02,0.01,0.03,0,0.04,0,0
F17,0.19,0.08,0.06,0.04,0.17,0.02,0.11,0.02,0.04,0.03,0,0.05,0.02,0.17,0,0.02,0.02,0.01,0.03,0,0,0,0.11
F83,0,0.27,0.05,0.03,0.08,0.02,0.48,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.04,0.19,0,0,0
F47,0.28,0.11,0.07,0.04,0.33,0.02,0,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0,0.01,0.02,0.02,0.02,0.3,0,0,0
F38,0.17,0.06,0.12,0.08,0.37,0.03,0.18,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0,0,0,0
F9,0.13,0.06,0.1,0.07,0.34,0.03,0.11,0.03,0.03,0,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0.03,0,0,0,0.01
F36,0.32,0.12,0.14,0.1,0.18,0.04,0.06,0.02,0.02,0.03,0.01,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.01,0,0,0,0.01
F22,0.07,0.03,0.11,0.07,0.07,0.03,0.11,0,0.01,0.03,0.02,0.01,0.02,0.06,0.02,0.02,0.02,0.01,0.02,0,0.03,0.02,0
F119,0.17,0.08,0.08,0.05,0.05,0.02,0.16,0,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.02,0.02,0,0,0,0
F36,0.32,0.12,0.14,0.1,0.18,0.04,0.06,0.02,0.02,0.03,0.01,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.01,0,0,0,0.01
F127,0.28,0.1,0.12,0.13,0.16,0.03,0.06,0.02,0.02,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.04,0,0,0,0.01
F117,0,0.1,0.05,0.03,0.03,0.02,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.11,0,0.01,0.01,0.01,0.01,0.13,0,0,0
F9,0.13,0.06,0.1,0.07,0.34,0.03,0.11,0.03,0.03,0,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0.03,0,0,0,0.01
F22,0.07,0.03,0.11,0.07,0.07,0.03,0.11,0,0.01,0.03,0.02,0.01,0.02,0.06,0.02,0.02,0.02,0.01,0.02,0,0.03,0.02,0
F5,0.31,0.09,0.1,0.12,0.15,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.03,0,0,0,0
Permanent Marker,0.2,0.07,0.07,0.08,0,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.12,0.01,0.02,0
Cap Junky,0.2,0.07,0.1,0.07,0,0.03,0.1,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.31,0.04,0,0
SK,0.25,0.1,0.09,0.07,0.05,0.03,0.13,0,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0,0,0,0
Grapes & Cream,0.06,0.03,0.03,0.02,0.03,0.02,0.02,0,0.01,0,0,0.03,0.02,0.07,0,0,0.02,0.01,0.01,0,0,0,0.04
Jokerz31,0,0.07,0.05,0.04,0.13,0.02,0.03,0.02,0.04,0.03,0,0.03,0.02,0.02,0,0.02,0.02,0.01,0.03,0.11,0,0.02,0.05
GG#4,0,0.12,0.03,0.02,0.06,0.01,0.07,0.02,0.02,0.02,0,0.02,0.01,0.07,0,0.01,0.01,0.01,0.03,0.09,0,0,0.05
Hippie Crasher (B),0.16,0.05,0.14,0.11,0.24,0.03,0.04,0,0.02,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.02,0,0.04,0.02,0
Detroit Runtz,0.17,0.07,0.07,0.04,0,0.02,0.11,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.18,0,0.02,0
Hippie Crasher (A),0.1,0.04,0.1,0.09,0.19,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0,0.03,0.02,0
RS11 (A),0,0.08,0.05,0.04,0.16,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.14,0,0,0
RS11 (B),0,0.08,0.05,0.05,0.17,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.16,0,0,0
Gary Payton,0,0.09,0.06,0.04,0.18,0.02,0.1,0.02,0.02,0.03,0,0.05,0.02,0.17,0,0.01,0.02,0.01,0.05,0.21,0,0,0
Soap,0,0.1,0.05,0.03,0.15,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.13,0,0.01,0.01,0.01,0.02,0.16,0,0,0
Banana Kush,0,0.18,0.07,0.04,0.02,0.02,0.26,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0,0.01,0.02,0.01,0.02,0.25,0,0,0
Super Boof,0.13,0.05,0.05,0.03,0.09,0.02,0.06,0.01,0.01,0.02,0,0,0.01,0.13,0,0.01,0.01,0.01,0.01,0,0,0,0
Runtz,0.17,0.06,0.05,0.03,0.12,0.02,0,0.02,0.02,0.03,0.01,0,0.02,0.01,0,0.02,0.02,0.01,0.01,0.13,0,0,0.07
Twice Baked Mama,0.05,0.03,0.16,0,0,0.02,0.18,0,0.01,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.08,0.02,0,0
Jelly Rancher,0.2,0.07,0.02,0.02,0.04,0.01,0,0,0,0.02,0,0,0,0.01,0,0,0,0.01,0.03,0.04,0,0,0.02
Ya Hemi,0.12,0.07,0.05,0.04,0.08,0.02,0.07,0.02,0.01,0.02,0,0,0.01,0.11,0,0.01,0.01,0.01,0.02,0,0,0,0.07
MUSK1,0.19,0.07,0.07,0.05,0.11,0.03,0.15,0,0.02,0.03,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0.03,0,0,0,0
MACv2,0.24,0.09,0.2,0.34,0.11,0.03,0.05,0.02,0.02,0.03,0.02,0.01,0.02,0.12,0.02,0.02,0.02,0.01,0.02,0,0,0.02,0.01
Capstone,0.11,0.04,0.06,0.1,0.03,0.01,0,0.02,0.02,0.02,0.02,0.02,0.01,0.1,0.01,0.02,0.22,0.01,0.02,0.04,0.03,0,0
Apple Fritter,0.34,0.13,0.16,0.24,0.13,0.03,0.06,0.02,0.02,0.03,0.02,0.01,0.02,0.08,0.02,0.02,0.02,0.01,0.02,0,0,0,0.01
Strawberry Cough,0.1,0.04,0.11,0.07,0.07,0.02,0.46,0.02,0.01,0.03,0.04,0.04,0.02,0.17,0.02,0.03,0,0.01,0.02,0.07,0,0,0.01
Ice Cream Cake,0,0.13,0.08,0.05,0.13,0.02,0.1,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.32,0,0,0
Gary Payton,0,0.11,0.06,0.04,0.17,0.02,0.08,0.02,0.04,0.03,0,0,0.02,0.18,0,0.02,0.02,0.01,0.05,0.22,0,0,0
Indian Landrace,0.08,0.04,0.05,0.03,0.09,0.02,0,0,0.01,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.12,0.03,0,0.06
Super Boof,0.13,0.05,0.05,0.03,0.09,0.02,0.06,0.01,0.01,0.02,0,0,0.01,0.13,0,0.01,0.01,0.01,0.01,0,0,0,0
Runtz,0.17,0.06,0.05,0.03,0.12,0.02,0,0.02,0.02,0.03,0.01,0,0.02,0.01,0,0.02,0.02,0.01,0.01,0.13,0,0,0.07
Ya Hemi,0.12,0.07,0.05,0.04,0.08,0.02,0.07,0.02,0.01,0.02,0,0,0.01,0.11,0,0.01,0.01,0.01,0.02,0,0,0,0.07
Zookies,0,0.15,0.05,0.04,0.11,0.02,0.03,0,0.02,0.03,0.01,0.01,0.02,0.18,0.02,0.02,0.02,0.01,0.02,0.23,0,0,0
Capstone,0.11,0.04,0.06,0.1,0.03,0.01,0,0.02,0.02,0.02,0.02,0.02,0.01,0.1,0.01,0.02,0.22,0.01,0.02,0.04,0.03,0,0
Black Cherry Punch,0.14,0.06,0.07,0.09,0.08,0.02,0.12,0.01,0.01,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.02,0.01,0.02,0,0.03,0,0
Jelly Rancher,0.2,0.07,0.02,0.02,0.04,0.01,0,0,0,0.02,0,0,0,0.01,0,0,0,0.01,0.03,0.04,0,0,0.02
Apple Fritter,0.34,0.13,0.16,0.24,0.13,0.03,0.06,0.02,0.02,0.03,0.02,0.01,0.02,0.08,0.02,0.02,0.02,0.01,0.02,0,0,0,0.01
#2,0.37,0.12,0.15,0.11,0.15,0.03,0.12,0,0.03,0.04,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.03,0,0,0,0
The Soap,0.34,0.12,0.06,0.04,0.17,0.02,0.03,0,0.02,0,0,0,0.01,0.31,0,0,0.01,0.01,0.01,0,0,0,0
Miracle Mints,0.3,0.09,0.06,0.04,0.21,0.02,0.07,0,0.03,0.03,0,0,0.01,0.29,0,0,0.01,0.01,0.02,0,0.04,0,0
Strawberry Gummy Bears,0.11,0.05,0.08,0.09,0.04,0.02,0.29,0,0.02,0.05,0.01,0,0.01,0.02,0,0.01,0.01,0.01,0.01,0,0.04,0,0
Gelly Biscuit #2,0.2,0.08,0.04,0.03,0.11,0.01,0.12,0,0.02,0.02,0,0,0.01,0,0,0.01,0.01,0,0.01,0,0.01,0,0.11
Gelly Biscuit #1,0.15,0.06,0.05,0.04,0.19,0.01,0.05,0,0.01,0.02,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0.01,0,0
Strawberry Eclair,0.21,0.09,0.07,0.04,0.12,0.01,0.41,0,0.02,0.02,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0
Barabajagal,0.2,0.08,0.1,0.12,0.07,0.02,0.29,0.01,0.02,0.02,0,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0,0,0,0
Sleepwalker,0.19,0.09,0.08,0.05,0.1,0.02,0.1,0.01,0.03,0.02,0,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.02,0,0.03,0,0
Mandarin Jack,0,0.11,0.05,0.03,0.09,0.01,0.1,0.01,0.01,0.02,0,0.01,0.01,0.17,0,0.01,0.01,0,0.01,0.21,0,0,0
Banana Ice Cream,0.42,0.13,0.09,0.05,0.14,0.02,0.34,0,0.03,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0.02,0,0.01,0,0
Zookies,0,0.13,0.03,0.02,0.04,0.01,0.01,0,0.02,0.02,0,0,0,0.11,0,0,0.01,0.01,0.02,0.13,0.01,0,0.07
Strawberry Cough,0.15,0.04,0.1,0.06,0.06,0.01,0,0.01,0.01,0.02,0.03,0.03,0.01,0.2,0.01,0.02,0.58,0.01,0.01,0.08,0,0,0
Zkittlez,0.17,0.06,0.13,0.07,0.42,0.02,0.26,0.01,0.04,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0
Tropical Barbeque Sauce #5,0,0.34,0.06,0.04,0.08,0.01,0.53,0,0.03,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.04,0.45,0,0,0
Tropical Barbeque Sauce #10,0,0.25,0.06,0.04,0.07,0.01,0.26,0.01,0.02,0.02,0,0,0.01,0,0,0,0.01,0.01,0.03,0.34,0,0,0
Superboof,0.17,0.05,0.07,0.04,0.13,0.01,0.1,0.01,0.01,0.02,0,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0
Trop Cherry,0.18,0.09,0.05,0.04,0.18,0.01,0.02,0.01,0.02,0.02,0,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0,0
Purple Chemdawg,0.2,0.06,0.08,0.04,0.07,0.02,0,0,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.43,0.01,0.01,0
Tropical Barbeque Sauce #10,0,0.25,0.06,0.04,0.07,0.01,0.26,0.01,0.02,0.02,0,0,0.01,0,0,0,0.01,0.01,0.03,0.34,0,0,0
Tropical Barbeque Sauce #5,0,0.34,0.06,0.04,0.08,0.01,0.53,0,0.03,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.04,0.45,0,0,0
Blueberry Chemdawg,0.06,0.02,0.09,0.07,0.1,0.02,0,0,0.01,0,0,0.01,0.01,0.06,0.02,0.01,0.01,0,0,0.35,0,0,0
Trop Cherry,0.18,0.09,0.05,0.04,0.18,0.01,0.02,0.01,0.02,0.02,0,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0,0
Capstone,0.12,0.04,0.08,0.17,0.03,0.01,0,0.01,0.01,0.03,0.02,0.02,0.01,0.25,0.01,0.02,0.5,0,0.02,0.05,0.03,0,0
Indian Landrace,0.1,0.05,0.04,0.03,0.09,0.01,0,0,0.01,0.03,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0.17,0.03,0,0
Tropical Barbecue Sauce 2.0,0,0.23,0.05,0.03,0.05,0.01,0.05,0,0.03,0.03,0,0,0.01,0.19,0,0.01,0.01,0.01,0.02,0.24,0.01,0,0.13
Sprout,0.23,0.1,0.06,0.16,0.03,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.04,0.11,0.01,0,0
Cap Junkie,0.25,0.07,0.09,0.05,0.46,0.02,0.13,0.01,0.03,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0.04,0,0
Orange Harambe,0,0.06,0.03,0.02,0.12,0.01,0.1,0.01,0.01,0.02,0,0,0,0.15,0,0,0.01,0.01,0.01,0.19,0,0,0
Candy Rocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosher Banger,0.16,0.07,0.14,0.11,0.33,0.03,0.25,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0,0,0,0.01,0.01,0
Mandarin Cookies,0,0.1,0.08,0.05,0.19,0.02,0.06,0.02,0.02,0.04,0,0,0.01,0.2,0,0,0.01,0.01,0.03,0.27,0.07,0,0.14
OMG,0.27,0.14,0.15,0.09,0.13,0.03,0.07,0.01,0.02,0.04,0,0,0.01,0.68,0,0.01,0.02,0.01,0.02,0,0.01,0,0
C1- Fortified Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Cream Cake,0,0.11,0.04,0.03,0.06,0.01,0.15,0,0.01,0.04,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.23,0,0,0
White Truffle,0,0.08,0.05,0.03,0.03,0.01,0.13,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.02,0.18,0,0,0
Oreoz,0.25,0.1,0.05,0.04,0.04,0.02,0.12,0,0.02,0,0.01,0.01,0.01,0.07,0.02,0.01,0.01,0.01,0.01,0,0,0,0
Purple Pinner,0.15,0.04,0.08,0.08,0.05,0.02,0.1,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Zookies,0,0.09,0.04,0.03,0.06,0.01,0.02,0,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.2,0,0,0
Indian Landrace,0.03,0.02,0.02,0.01,0.04,0.01,0,0,0.01,0.03,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0,0.05,0.01,0,0
MACv2,0.2,0.07,0.21,0.36,0.13,0.03,0.05,0.02,0.02,0.04,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0
Fruit Roll,0.15,0.05,0.05,0.05,0.09,0.02,0.19,0,0.01,0.05,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.02,0,0
Dead Unicorn,0,0.13,0.07,0.09,0.03,0.02,0.02,0,0.03,0.04,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.18,0.05,0,0
Falcare,0,0.15,0.07,0.04,0.09,0.02,0.1,0,0.05,0.05,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.02,0.31,0.01,0,0
Purple Punch,0.19,0.09,0.05,0.05,0.12,0.02,0,0,0.04,0.05,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.23,0.05,0,0
Black Oreo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mac Grape,0.11,0.05,0.05,0.03,0.03,0.01,0.03,0,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0,0.03,0.01,0
Mango Chow Mein,0,0.05,0.02,0.01,0.08,0.01,0.03,0.02,0.02,0.02,0.01,0,0.01,0.07,0,0.01,0.01,0.01,0.01,0.09,0,0,0
Gelly Biscuit #2,0.1,0.04,0.03,0.02,0.07,0.01,0.05,0,0.01,0.02,0.01,0,0.01,0.1,0,0.01,0.01,0.02,0,0,0,0,0
Gelly Biscuit #1,0.08,0.03,0.04,0.03,0.11,0.01,0.03,0,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0,0
Banana Ice Cream,0.19,0.07,0.07,0.04,0.09,0.01,0.21,0,0.02,0,0,0,0.01,0.29,0,0.01,0.01,0.02,0.01,0,0,0,0
Waffle Dough,0.15,0.05,0.11,0.1,0.13,0.02,0.09,0,0.02,0,0,0,0.01,0.07,0.02,0.01,0.01,0.01,0,0,0,0.01,0
Sugarcane,0.21,0.07,0.11,0.14,0.11,0.02,0.04,0,0.02,0.02,0.01,0,0.01,0.15,0.01,0.01,0.01,0.01,0.02,0,0.03,0,0.01
Dante's Inferno #6,0.13,0.06,0.13,0.08,0.08,0.03,0.18,0,0.02,0,0.01,0,0.01,0,0,0.01,0.02,0.01,0.01,0,0,0.01,0.01
Dante's Inferno #7,0,0.18,0.04,0.03,0.05,0.01,0.15,0.02,0.03,0.02,0,0,0.01,0.08,0.02,0,0.01,0.01,0.04,0.23,0,0,0
#2,0.14,0.05,0.32,0,0.15,0.02,0.62,0,0.01,0.02,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0,0,0
#9,0.13,0.05,0.19,0.34,0.01,0.02,0,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0,0,0
Wedding Pie,0.18,0.06,0.06,0.04,0.24,0.02,0.14,0,0.02,0.04,0,0,0.01,0.23,0,0,0.02,0.01,0.02,0,0.05,0,0
