Strain,beta-Caryophyllene,alpha-Humulene,beta-Pinene,alpha-Pinene,Linalool,Camphene,beta-Myrcene,Geraniol,trans-Nerolidol,Caryophyllene Oxide,delta-3-Carene,alpha-Terpinene,para-Cymene,beta-Ocimene,Eucalyptol,gamma-Terpinene,Terpinolene,cis-Nerolidol,alpha-Bisabolol,D-Limonene,Guaiol,Isopulegol,alpha-Ocimene
Kings Kake,0,0.13,0.04,0.03,0.07,0.02,0.15,0,0.02,0,0,0,0.01,0.15,0,0,0.01,0.01,0.02,0.21,0,0,0.15
Bruce Juice,0,0.12,0.07,0.04,0.09,0.02,0.17,0.02,0.01,0.02,0,0,0.01,0.25,0,0,0.01,0.01,0.02,0.34,0,0,0
Terpy Tyron - LT x AC,0,0.05,0.02,0.02,0.02,0.01,0.04,0,0.01,0.02,0,0,0,0.02,0,0,0.01,0.01,0.02,0.02,0,0,0.01
Josh Cooper - Runtz,0.11,0.04,0.06,0.05,0.09,0.02,0.09,0.02,0.02,0,0,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0.16
Jeff Burns - B21,0,0.12,0.03,0.02,0.06,0.01,0.14,0,0.03,0.02,0,0,0.01,0.09,0.01,0.01,0.01,0.01,0.04,0.12,0,0,0.09
B* Baby D,0,0.12,0.03,0.02,0.11,0.01,0.03,0,0.03,0,0,0,0.01,0.08,0,0,0.01,0.01,0.01,0.11,0,0,0.08
Adirondack Grass - Midnight Moodlight,0.26,0.09,0.07,0.05,0.17,0.02,0.09,0,0.02,0.03,0,0,0.01,0.04,0.02,0,0.02,0.01,0.03,0,0,0,0
Brandon - Lemon Berry Candy,0,0.09,0.02,0.02,0.01,0.01,0.03,0,0.01,0.02,0,0,0.01,0.06,0,0,0,0.01,0.02,0.09,0,0,0.06
Dennis - PPC,0.21,0.07,0.07,0.12,0.03,0.01,0,0,0.01,0.02,0,0,0.01,0.01,0,0,0,0.01,0.04,0.08,0,0,0.05
Lance Lamont - Silver Goat,0.17,0.07,0.03,0.05,0.02,0.01,0,0,0.02,0,0,0,0.01,0.05,0.02,0,0,0.01,0.02,0.02,0,0,0
Liberty Garden - MAC1,0.14,0.06,0.06,0.05,0.04,0.02,0.03,0,0.02,0.03,0,0,0.01,0.02,0,0,0.01,0.01,0.05,0,0,0,0.2
Charlie Walter - Game Changer,0.09,0.05,0.09,0.1,0.12,0.02,0.07,0,0.02,0.03,0,0,0.01,0.09,0.03,0,0.02,0.01,0.02,0,0,0,0.01
Brad Kretzer - CRH,0,0.09,0.04,0.03,0.03,0.02,0.05,0,0.02,0.02,0,0,0.01,0.12,0.01,0,0.01,0.01,0.02,0.17,0,0,0.12
Brandon - Deathstow,0,0.13,0.02,0.01,0,0.01,0.05,0,0.02,0.02,0,0,0.01,0.06,0,0,0,0.01,0.01,0.08,0.03,0,0.05
Josh Cooper - PKB,0.1,0.04,0.04,0.03,0.05,0.02,0.04,0,0.01,0.03,0,0,0.01,0.11,0,0,0.01,0.01,0.02,0,0.03,0,0.1
Dennis - A Dub,0.09,0.03,0.06,0.06,0.01,0.01,0,0,0.01,0.02,0.02,0.02,0.01,0.02,0,0.02,0.23,0,0.02,0.04,0.03,0,0.01
Brandon - Purple Marmalade,0,0.1,0.03,0.02,0.04,0.01,0.05,0,0.02,0.02,0,0,0.01,0.1,0,0,0.01,0.01,0.03,0.13,0,0,0.09
Luman Chichester - Blueberry,0.1,0.05,0.06,0.09,0.05,0.02,0.11,0,0.02,0.03,0.02,0.02,0.01,0.06,0.02,0.02,0,0.01,0.02,0.07,0.01,0,0.01
Lance Lamont - Albany Piff,0.09,0.03,0.07,0,0.02,0.01,0.15,0,0.01,0,0,0,0,0.02,0,0,0,0.01,0.02,0.02,0,0,0.01
Brandon - Mandarin Cookies,0,0.08,0.03,0.02,0.02,0.01,0.01,0,0.02,0.02,0,0,0.01,0.09,0.01,0.01,0.01,0.01,0.05,0.12,0,0,0.08
Haywood Bud - Blockberry,0.1,0.04,0.06,0.04,0.13,0.02,0.05,0.02,0.01,0,0,0,0.01,0.2,0,0.01,0.01,0.01,0.01,0,0,0,0
Josh Cooper - PKB,0.1,0.04,0.04,0.03,0.05,0.02,0.04,0,0.01,0.03,0,0,0.01,0.11,0,0,0.01,0.01,0.02,0,0.03,0,0.1
Nice Growing - HTNT,0.14,0.05,0.05,0.16,0.03,0.01,0,0,0.01,0.02,0,0,0.01,0.04,0.02,0,0,0.01,0.01,0.05,0,0,0
Jeff Burns - B21,0,0.12,0.03,0.02,0.06,0.01,0.14,0,0.03,0.02,0,0,0.01,0.09,0.01,0.01,0.01,0.01,0.04,0.12,0,0,0.09
B* Baby D,0,0.12,0.03,0.02,0.11,0.01,0.03,0,0.03,0,0,0,0.01,0.08,0,0,0.01,0.01,0.01,0.11,0,0,0.08
Charlie Walter - Game Changer,0.09,0.05,0.09,0.1,0.12,0.02,0.07,0,0.02,0.03,0,0,0.01,0.09,0.03,0,0.02,0.01,0.02,0,0,0,0.01
Brad Kretzer - CRH,0,0.09,0.04,0.03,0.03,0.02,0.05,0,0.02,0.02,0,0,0.01,0.12,0.01,0,0.01,0.01,0.02,0.17,0,0,0.12
B* Deathstar,0,0.1,0.03,0.02,0.09,0.01,0.07,0,0.03,0.02,0,0,0.01,0.07,0,0,0.01,0.01,0.02,0.09,0.04,0,0.06
Liberty Garden - MAC1,0.14,0.06,0.06,0.05,0.04,0.02,0.03,0,0.02,0.03,0,0,0.01,0.02,0,0,0.01,0.01,0.05,0,0,0,0.2
Sample A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAK,0,0.08,0.04,0.02,0.04,0.01,0.03,0,0.01,0.02,0.01,0,0.01,0.13,0,0,0.01,0.01,0.03,0.18,0,0,0.13
MF6,0.14,0.07,0.03,0.02,0.02,0.01,0,0,0.01,0.03,0,0,0.01,0.05,0,0,0.01,0.01,0.03,0.07,0,0,0.04
Astropop,0,0.1,0.04,0.03,0.04,0.01,0.07,0,0.02,0.02,0,0,0.01,0.01,0,0,0.01,0.01,0.02,0.19,0,0,0.13
Headband,0.19,0.06,0.09,0.1,0.06,0.02,0.11,0.02,0.02,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0,0,0,0.01
Dreamsicle,0,0.16,0.05,0.04,0.04,0.02,0.03,0,0.02,0.03,0.01,0,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.24,0,0,0.01
Velvet Heat,0,0.12,0.03,0.03,0.04,0.01,0.06,0,0.03,0.02,0,0,0.01,0.01,0,0,0.01,0.01,0.03,0.14,0,0,0.1
London Punch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kush Mints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Han Solo Burger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB Kush,0.21,0.1,0.12,0,0.03,0.02,0.11,0,0.02,0.02,0,0,0.01,0.02,0,0,0.01,0.01,0.03,0.06,0,0,0
Zkittlez,0.23,0.08,0.01,0.01,0.04,0,0,0,0.01,0.02,0.01,0,0.01,0.04,0.02,0,0,0.01,0.03,0.03,0.04,0,0
HVAC OG,0.1,0.05,0.05,0.12,0.04,0.01,0,0,0.01,0.03,0.01,0,0.01,0.16,0.04,0,0,0.01,0.04,0.04,0.03,0,0.01
Purple Frost Giant,0.2,0.07,0.06,0.04,0.06,0.02,0.08,0,0.02,0,0,0,0.01,0.05,0.02,0,0.01,0.01,0.03,0,0.01,0,0
Mac1,0.1,0.04,0.12,0.13,0.14,0.02,0.14,0,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.03,0,0,0,0
Strawberry Fritter,0.21,0.06,0.16,0.26,0.07,0.02,0.06,0,0.01,0.03,0.01,0.01,0.01,0.11,0.03,0.01,0.02,0.01,0.02,0,0.02,0,0.01
Kimbo Kush,0,0.06,0.02,0.02,0.03,0.01,0.07,0,0.02,0,0,0,0.01,0.07,0,0,0.01,0.01,0.04,0.09,0,0,0.06
Radderall,0.12,0.04,0.09,0.07,0.06,0.02,0.06,0.02,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0,0,0,0
Fruit Roll,0.05,0.02,0.15,0.3,0.04,0.02,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.22,0,0,0.16
Strawberry Parfait,0.05,0.02,0.03,0.02,0,0.01,0,0,0.01,0,0,0,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.1,0,0,0
Strawberry Parfait,0.05,0.02,0.03,0.02,0,0.01,0,0,0.01,0,0,0,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.1,0,0,0
MAC1 Caps Cut,0.09,0.04,0.11,0.16,0.09,0.02,0.09,0,0.02,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0,0,0,0
Frosted Apricots,0.1,0.05,0.05,0.04,0.09,0.02,0,0,0.01,0.03,0,0,0.01,0.15,0,0,0.01,0.01,0.01,0.2,0.02,0,0.14
Candy Store Rbx,0.3,0.14,0.14,0.22,0.02,0.02,0.17,0,0.01,0,0.01,0.02,0.01,0.12,0.03,0.01,0.14,0.01,0,0,0,0,0.01
Key Lime Fire,0.16,0.06,0.04,0.03,0.12,0.01,0,0,0.02,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.22,0,0,0
Colin OG Rbx,0.23,0.09,0.04,0.03,0.02,0.02,0,0,0.02,0.02,0,0,0.01,0.01,0,0,0.01,0.01,0.03,0.19,0,0,0.13
Candy Store Harvest Right,0.31,0.14,0.15,0.25,0,0.03,0.22,0,0.01,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.02,0.01,0,0,0,0,0
Grape Jelly,0.16,0.06,0.15,0,0.04,0.02,0.09,0,0.02,0,0.01,0.01,0,0.02,0.01,0.01,0.01,0.01,0.03,0.07,0,0,0
MB Kush,0.08,0.04,0.05,0.09,0.02,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.04,0,0,0.03
Raspberry Gorilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raspberry Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanilla Sun Breath,0.11,0.06,0.02,0.02,0.08,0.01,0,0.01,0.01,0.02,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.02,0.06,0,0,0.05
MAC1 Caps Cut,0.08,0.04,0.07,0.1,0.08,0.02,0.06,0,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0,0,0,0.01
Zkittlez,0.11,0.04,0.07,0.04,0.24,0.02,0.18,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0,0
Moby Grape,0.12,0.05,0.02,0.02,0.02,0.01,0,0,0.01,0,0,0,0.01,0.04,0,0,0.01,0.01,0.02,0.05,0,0,0.04
Gorilla Banna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blueberry Headband,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prayer Pupil,0.1,0.04,0.05,0.03,0.09,0.02,0,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.01,0.21,0,0,0.01
Grape Gas,0,0.08,0.03,0.03,0.21,0.02,0.13,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.01,0,0.01
Gary Peyton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glazed Apricot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cap Junky,0.13,0.05,0.07,0.05,0.22,0.02,0.06,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0,0.03,0,0.01
Bahama Berry #3 A,0.15,0.06,0.08,0.19,0.07,0.03,0.06,0,0.01,0.02,0.01,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.01,0,0.04,0,0.01
MAC1 - Cap Cut B,0.08,0.04,0.05,0.04,0.04,0.02,0.03,0,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0,0,0
MAC1 - Cap Cut A,0.07,0.04,0.07,0.06,0.14,0.02,0.1,0,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0,0,0,0.01
Mimosa,0.11,0.04,0.04,0.06,0.04,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.04,0,0,0.03
Bahama Berry #3 B,0.19,0.07,0.1,0.16,0.05,0.02,0.1,0,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0,0.04,0,0.01
Mendo,0.09,0.04,0.02,0.02,0.07,0.01,0.04,0.02,0.03,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.08
Sour Orange,0.09,0.03,0.03,0,0.02,0.01,0.04,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.04,0.04,0.04,0,0.03
Purple Dragon,0.09,0.04,0.02,0.02,0,0.01,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0
"Bergman's ""Gold Leaf""",0.16,0.09,0.11,0,0.02,0.01,0.06,0,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.09,0.01,0,0.06
Bruce Banner,0.12,0.06,0.05,0.07,0.07,0.01,0.03,0,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0.01,0.03,0,0.01,0,0.08
Mandarin Jack,0,0.11,0.06,0.04,0.08,0.02,0.03,0,0.02,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.02,0.18,0,0,0.12
Banana Bread,0.11,0.04,0.05,0.11,0.08,0.01,0.03,0,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.04,0.05,0.01,0,0.03
Banana Ice Cream,0,0.08,0.06,0.04,0.1,0.02,0.04,0,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.03,0.02,0.2,0.01,0,0.13
Waffle Dough,0.14,0.05,0.09,0.07,0.11,0.02,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.24
Amherst Sour Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mango Sapphire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic Bio Diesel Fuel Flower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grandpa Breath,0,0.02,0.01,0.01,0.03,0.01,0.02,0,0.01,0.01,0,0,0,0.02,0.01,0.01,0,0.01,0.01,0.02,0,0,0.01
Foot Cheese Auto,0.03,0.01,0.04,0.02,0.06,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.1,0.03,0.01,0.01,0.01,0.01,0.09,0.07,0,0
Forum Stomper Auto,0.24,0.09,0.09,0.05,0.12,0.02,0.28,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0,0
Black Cherry Cheesecake Cookies,0.2,0.08,0.08,0.05,0.23,0.02,0.1,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0
Papaya Cake,0.17,0.06,0.07,0.04,0.22,0.02,0.2,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0.03,0,0
Stay Puft,0.13,0.04,0.07,0.04,0.14,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.3,0,0,0
Apple Fritter,0,0.14,0.08,0.1,0.1,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.26,0,0,0
Runtz,0.13,0.04,0.04,0.03,0.11,0.01,0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.08,0,0,0.05
AK-47,0.12,0.05,0.05,0.03,0.14,0.02,0.12,0.02,0.02,0.01,0.01,0.01,0.01,0.16,0,0.01,0.01,0.01,0.01,0,0,0,0
Purple Chemdawg,0.16,0.06,0.09,0.05,0.08,0.02,0.13,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0.01,0
Emergen-C,0.2,0.06,0.07,0.04,0.29,0.02,0,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.39,0.04,0,0
44713,0.17,0.07,0.06,0.03,0.08,0.01,0.24,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0
Critical Kush,0.17,0.09,0.06,0.11,0.08,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.01,0.01,0.01,0.11,0,0,0.01
Wedding Cake 1,0.22,0.09,0.06,0.04,0.12,0.02,0.03,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.07,0,0
Punch Breath,0.09,0.04,0.06,0.05,0.03,0.02,0.12,0,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0,0.03,0,0
Kitchen Sink,0.29,0.11,0.06,0.03,0.04,0.01,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.28,0,0,0
LD X FP X Runtz B,0,0.23,0.05,0.03,0.12,0.01,0.07,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.2,0,0,0
LD X FP X LD X FP E,0,0.18,0.05,0.03,0.03,0.01,0.04,0,0.01,0.01,0.02,0.02,0.01,0.07,0.01,0.02,0.33,0.01,0.01,0.03,0,0,0
Super Pink,0.08,0.03,0.02,0.01,0.02,0.01,0,0,0.01,0.02,0,0,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0,0.03
Lemon Cherry Gelato,0,0.1,0.03,0.04,0.05,0.01,0.02,0,0.09,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.16,0,0,0.1
Axle Grease,0,0.01,0.04,0.01,0.11,0.02,0,0.02,0.01,0.01,0.03,0.03,0.08,0.01,0,0.01,0.02,0.04,0.02,0.03,0,0.01,0.24
Seed Junky Genetics-Jealousy #5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twenty20 5g Homegrown,0.11,0.06,0.05,0.05,0.07,0.02,0.16,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0,0.01,0.15,0
Mike's OG,0.11,0.04,0.09,0.17,0.02,0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.06,0.01,0.04,0.04
Detroit Hustle x Tropsantos #1,0.05,0.02,0.29,0,0.07,0.02,0.26,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.1,0.01,0.07,0
Detroit Hustle x Tropfetti #3,0.15,0.06,0.12,0.07,0.04,0.02,0.1,0.02,0.01,0.01,0.03,0.03,0.01,0.07,0.01,0.02,0,0.01,0.03,0.17,0.01,0.01,0
Crom,0.24,0.08,0.07,0.04,0.12,0.02,0.15,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0,0.01,0.13,0
Shovels Ice Cream #2,0.05,0.02,0.33,0,0.09,0.03,0.37,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.08,0
Melt Banana,0.21,0.09,0.06,0.04,0.07,0.02,0,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.17,0.01,0.01,0
Extreme Cream 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pineapple Purp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice God F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Panther OG,0.31,0.15,0.04,0.02,0.11,0.01,0,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.01,0.11,0
Deep V,0.22,0.09,0.06,0.04,0.04,0.02,0.07,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.04,0.15,0
Black Durban X 592,0.11,0.05,0.05,0.08,0.06,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.09,0.03,0.06,0
Kimbo Kush,0.09,0.03,0.06,0.03,0.14,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.19,0.02,0.09,0
KL Runts/Kimbo Kush,0.11,0.04,0.04,0.02,0.09,0.01,0.04,0.01,0.02,0.01,0.06,0.03,0.01,0.09,0.04,0.01,0.01,0.01,0.01,0,0.01,0.1,0.08
Eager Beaver #2,0.1,0.04,0.05,0.03,0.12,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0,0.01,0.11,0
French Toast #5,0.36,0.12,0.09,0.05,0.18,0.02,0.25,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.04,0,0.01,0.01,0
K.O. Runtz #1,0.08,0.03,0.06,0.03,0.12,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.16,0.01,0.11,0.1
Banana Bread,0.1,0.04,0.05,0.11,0.08,0.01,0,0.02,0.02,0.01,0.01,0.01,0.01,0.19,0.05,0.01,0.01,0.01,0.03,0.07,0.01,0.07,0.01
Mandarin Jack,0,0.1,0.05,0.03,0.09,0.02,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.1,0.04,0.01,0.01,0.01,0.02,0.14,0.01,0.13,0.08
Apple Jacks,0.17,0.07,0.18,0.26,0.15,0.03,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.07,0.03,0.01,0.02,0.01,0.02,0,0.01,0.25,0.01
Frozen Runtz,0.12,0.05,0.13,0.07,0.3,0.03,0.18,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.15,0.01,0.02,0.01,0.01,0,0.01,0.02,0
Popscotti,0.15,0.05,0.14,0.13,0.19,0.03,0.05,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.1,0.01,0.02,0.01,0.01,0,0.01,0.33,0
Fang,0.32,0.11,0.13,0.12,0.12,0.03,0.04,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.11,0.01,0.02,0.01,0.04,0,0.02,0.28,0
Garlicane,0.25,0.1,0.08,0.05,0.07,0.02,0.13,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.02,0,0.01,0.13,0
Punch 3.0,0.09,0.01,0.07,0.06,0.06,0.02,0.1,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0,0.03,0.12,0
Banana Ice Cream,0.22,0.08,0.11,0.07,0.15,0.03,0.11,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.11,0.01,0.02,0.01,0.02,0,0.01,0.22,0
FMJ 6,0,0.08,0.07,0.05,0.13,0.02,0.18,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.03,0.21,0.01,0.15,0
Black Magic,0.07,0.03,0.05,0.05,0.08,0.02,0.03,0.01,0.01,0.02,0.07,0.04,0.01,0.01,0.04,0.01,0.01,0.01,0,0,0.01,0.1,0.09
Blue Dream 2,0.1,0.06,0.04,0.03,0.06,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.01,0.06,0.01,0.02,0,0.01,0.02,0.09,0.02,0.01,0
Purple Frosting,0,0.12,0.02,0.02,0.09,0.01,0.12,0,0.01,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.05,0.05,0.03,0.03
Pure Michigan,0.22,0.1,0.06,0.04,0.04,0.02,0.05,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.03,0,0.02,0.18,0
